,customer_id,sex,is_married,event_time,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-plus,n_days_active
0,C1,0,1,2024-05-02T05:39:10.965Z,0,0,0,0,0,1,0.20342465753424666
1,C2,1,1,2024-05-02T05:39:10.966Z,0,0,0,0,0,1,0.8595890410958904
2,C3,1,1,2024-05-02T05:39:10.967Z,0,1,0,0,0,0,0.5273972602739727
3,C4,1,0,2024-05-02T05:39:10.967Z,0,0,0,0,1,0,0.7808219178082192
4,C5,1,0,2024-05-02T05:39:10.968Z,0,0,0,0,1,0,0.691095890410959
5,C6,1,1,2024-05-02T05:39:10.969Z,0,0,0,0,0,1,0.7349315068493152
6,C7,1,0,2024-05-02T05:39:10.970Z,0,0,0,0,0,1,0.4500000000000002
7,C8,1,0,2024-05-02T05:39:10.971Z,0,1,0,0,0,0,0.3520547945205481
8,C9,1,0,2024-05-02T05:39:10.972Z,0,0,0,0,0,1,0.3136986301369864
9,C10,1,1,2024-05-02T05:39:10.972Z,0,1,0,0,0,0,0.2513698630136987
10,C11,0,1,2024-05-02T05:39:10.973Z,1,0,0,0,0,0,0.706164383561644
11,C12,0,0,2024-05-02T05:39:10.973Z,0,0,0,0,0,1,0.34589041095890427
12,C13,0,0,2024-05-02T05:39:10.974Z,0,0,0,1,0,0,0.26712328767123306
13,C14,0,0,2024-05-02T05:39:10.975Z,1,0,0,0,0,0,0.09520547945205493
14,C15,0,0,2024-05-02T05:39:10.976Z,0,0,1,0,0,0,0.7856164383561646
15,C16,0,0,2024-05-02T05:39:10.976Z,0,0,0,1,0,0,0.9924657534246575
16,C17,1,0,2024-05-02T05:39:10.977Z,0,0,1,0,0,0,0.1623287671232878
17,C18,1,1,2024-05-02T05:39:10.978Z,0,0,0,1,0,0,0.00136986301369868
18,C19,1,0,2024-05-02T05:39:10.978Z,0,0,1,0,0,0,0.3136986301369864
19,C20,0,0,2024-05-02T05:39:10.979Z,0,1,0,0,0,0,0.42602739726027417
20,C21,0,0,2024-05-02T05:39:10.980Z,0,1,0,0,0,0,0.19109589041095898
21,C22,1,1,2024-05-02T05:39:10.981Z,0,0,1,0,0,0,0.73013698630137
22,C23,1,0,2024-05-02T05:39:10.981Z,0,0,0,0,1,0,0.09109589041095889
23,C24,0,0,2024-05-02T05:39:10.982Z,0,0,0,0,1,0,0.7157534246575343
24,C25,1,0,2024-05-02T05:39:10.983Z,0,0,0,0,1,0,0.09178082191780823
25,C26,0,1,2024-05-02T05:39:10.983Z,0,0,1,0,0,0,0.9705479452054795
26,C27,0,0,2024-05-02T05:39:10.984Z,0,0,0,0,1,0,0.6356164383561644
27,C28,1,0,2024-05-02T05:39:10.984Z,0,0,0,0,0,1,0.4616438356164385
28,C29,1,0,2024-05-02T05:39:10.985Z,0,0,0,0,0,1,0.9438356164383563
29,C30,1,1,2024-05-02T05:39:10.985Z,0,0,0,1,0,0,0.22465753424657553
30,C31,0,1,2024-05-02T05:39:10.986Z,0,0,0,0,1,0,0.6349315068493151
31,C32,1,0,2024-05-02T05:39:10.987Z,0,1,0,0,0,0,0.9767123287671233
32,C33,1,0,2024-05-02T05:39:10.987Z,0,1,0,0,0,0,0.4198630136986303
33,C34,1,0,2024-05-02T05:39:10.988Z,0,0,1,0,0,0,0.11438356164383578
34,C35,0,1,2024-05-02T05:39:10.988Z,1,0,0,0,0,0,0.226027397260274
35,C36,1,0,2024-05-02T05:39:10.989Z,0,0,0,0,1,0,0.20342465753424666
36,C37,1,0,2024-05-02T05:39:10.990Z,0,1,0,0,0,0,0.3226027397260276
37,C38,0,1,2024-05-02T05:39:10.990Z,0,0,0,0,0,1,0.8417808219178085
38,C39,0,0,2024-05-02T05:39:10.991Z,0,1,0,0,0,0,0.38767123287671246
39,C40,1,1,2024-05-02T05:39:10.992Z,0,0,1,0,0,0,0.7102739726027398
40,C41,0,1,2024-05-02T05:39:10.992Z,0,1,0,0,0,0,0.3698630136986303
41,C42,0,0,2024-05-02T05:39:10.993Z,1,0,0,0,0,0,0.11643835616438358
42,C43,1,0,2024-05-02T05:39:10.994Z,0,0,1,0,0,0,0.5945205479452056
43,C44,0,1,2024-05-02T05:39:10.995Z,0,0,0,0,0,1,0.6102739726027397
44,C45,0,1,2024-05-02T05:39:10.995Z,0,0,0,0,1,0,0.39863013698630145
45,C46,1,1,2024-05-02T05:39:10.996Z,0,1,0,0,0,0,0.13561643835616444
46,C47,1,1,2024-05-02T05:39:10.996Z,0,0,0,0,0,1,0.1657534246575343
47,C48,1,0,2024-05-02T05:39:10.997Z,1,0,0,0,0,0,0.08424657534246593
48,C49,0,0,2024-05-02T05:39:10.998Z,0,0,1,0,0,0,0.06232876712328772
49,C50,0,0,2024-05-02T05:39:10.998Z,0,0,0,0,0,1,0.3047945205479452
50,C51,0,1,2024-05-02T05:39:10.999Z,0,0,0,1,0,0,0.8904109589041096
51,C52,0,1,2024-05-02T05:39:10.999Z,0,0,0,0,1,0,0.15068493150684947
52,C53,0,0,2024-05-02T05:39:11.000Z,0,0,0,0,0,1,0.008904109589041198
53,C54,1,0,2024-05-02T05:39:11.001Z,0,0,0,0,1,0,0.011643835616438336
54,C55,1,0,2024-05-02T05:39:11.002Z,0,0,0,0,0,1,0.2205479452054795
55,C56,1,1,2024-05-02T05:39:11.003Z,0,0,0,0,1,0,0.73013698630137
56,C57,1,0,2024-05-02T05:39:11.003Z,0,0,0,0,0,1,0.55
